vid,window_start_frame,window_end_frame,cam,narration_start_frame,narration_end_frame,narration_id,narration,duration
georgiatech_cooking_01_02_2,35346,36246,03,36098,36176,georgiatech_cooking_01_02_2_ks_79,Wait for the ingredients to simmer.,2.6
fair_bike_01_8,2342,3242,02,2551,2604,fair_bike_01_8_ks_14,Tighten the left axle nut with left hand.,1.7666666666666666
georgiatech_cooking_10_02_4,22225,23125,01,22736,22808,georgiatech_cooking_10_02_4_ks_47,Turn off the stove,2.4
georgiatech_cooking_14_01_6,4475,5375,05,4958,5002,georgiatech_cooking_14_01_6_ks_62,Get a fork from the countertop,1.4666666666666666
georgiatech_bike_04_4,1716,2616,04,1842,1891,georgiatech_bike_04_4_ks_5,get the new inner tube from the table,1.6333333333333333
fair_cooking_06_6,218,1118,03,811,860,fair_cooking_06_6_ks_4,Add noodles into a pot of boiling water,1.6333333333333333
fair_cooking_06_2,8697,9597,03,9061,9095,fair_cooking_06_2_ks_20,Get a bowl from the countertop,1.1333333333333333
georgiatech_cooking_10_02_2,30751,31651,01,31163,31227,georgiatech_cooking_10_02_2_ks_77,Check heat of the skillet.,2.1333333333333333
georgiatech_cooking_09_02_2,25306,26206,03,25567,25620,georgiatech_cooking_09_02_2_ks_68,Get chopped garlic from the chopping board,1.7666666666666666
fair_bike_07_19,3423,4323,01,3884,3961,fair_bike_07_19_ks_10,insert the valve stem into the rim,2.566666666666667
georgiatech_cooking_14_01_2,25110,26010,05,25855,25896,georgiatech_cooking_14_01_2_ks_88,regulate the stove knob,1.3666666666666667
fair_bike_01_8,1895,2795,04,2551,2604,fair_bike_01_8_ks_14,Tighten the left axle nut with left hand.,1.7666666666666666
fair_cooking_08_4,3086,3986,01,3185,3205,fair_cooking_08_4_ks_4,Pick a napkin from the countertop,0.6666666666666666
georgiatech_cooking_14_01_2,20500,21400,01,21152,21187,georgiatech_cooking_14_01_2_ks_74,get a measuring scoop on the counter top,1.1666666666666667
georgiatech_bike_18_10,864,1764,04,1223,1266,georgiatech_bike_18_10_ks_4,Slowly move the chain by backpedaling with hand,1.4333333333333333
georgiatech_cooking_01_02_2,33848,34748,04,34305,34389,georgiatech_cooking_01_02_2_ks_73,Get spatula from the countertop.,2.8
fair_cooking_08_4,6265,7165,02,6680,6707,fair_cooking_08_4_ks_16,Pick bell pepper from the tray on the countertop,0.9
georgiatech_cooking_01_02_2,2221,3121,01,2699,2762,georgiatech_cooking_01_02_2_ks_11,Put away the salt,2.1
georgiatech_bike_19_10,1552,2452,01,1756,1809,georgiatech_bike_19_10_ks_2,Get a cloth from the table,1.7666666666666666
georgiatech_cooking_01_02_2,33538,34438,01,34305,34389,georgiatech_cooking_01_02_2_ks_73,Get spatula from the countertop.,2.8
georgiatech_cooking_14_01_2,17654,18554,03,17847,17936,georgiatech_cooking_14_01_2_ks_60,check the paper recipe on the counter top,2.966666666666667
fair_bike_09_6,71,971,02,168,226,fair_bike_09_6_ks_0,Get a tire lever from the table,1.9333333333333333
georgiatech_cooking_14_01_2,25894,26794,04,26388,26443,georgiatech_cooking_14_01_2_ks_90,check the paper recipe on the counter top,1.8333333333333333
georgiatech_cooking_14_01_2,7250,8150,01,7473,7522,georgiatech_cooking_14_01_2_ks_19,check the paper recipe on the counter top,1.6333333333333333
georgiatech_bike_18_10,551,1451,03,1223,1266,georgiatech_bike_18_10_ks_4,Slowly move the chain by backpedaling with hand,1.4333333333333333
georgiatech_bike_01_10,2316,3216,04,2328,2384,georgiatech_bike_01_10_ks_2,Get a tire lever on the ground,1.8666666666666667
georgiatech_cooking_09_02_2,8857,9757,04,9118,9181,georgiatech_cooking_09_02_2_ks_8,Get a bowl from the kitchen island,2.1
georgiatech_bike_18_12,890,1790,04,1460,1513,georgiatech_bike_18_12_ks_3,Get a cloth from the table,1.7666666666666666
